output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums,style_name,content_name,human_content_similarity,human_style_similarity,human_quality,comments
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4910304274180678,0.5577158781592867,0.0169943609062711,0.2189636365314674,0.1767766952966369,Alternative Hip Hop #2 in G#m.mapped,Zilo,1,3,1,Completely Wrong
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.3875435444521173,0.6645137735249265,0.910160848292152,0.343814026834301,0.0834725704117722,Synthwave #3 in Bb.mapped,Zilo,4,3,2,Not good whatsoever
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.3787116330754961,0.6203418638177429,0.9257610943723223,0.5001541805663143,0.2121821778466437,Synthwave #5 in Am.mapped,Zilo,4,2,2,not accurate !
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4388953205742204,0.7041595423667021,0.6365266538299017,0.3437954761275735,0.0,Synthwave #4 in Bb.mapped,Zilo,3,2,4,Muscal and interesting but dosen't follow calssic rules of solid arrangement
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4161917060422884,0.7295291756388752,0.8019255023429159,0.6704518948702102,0.0,Synthwave #6 in A.mapped,Zilo,3,3,2,So many mistakes !
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4073383761195048,0.6456148789989107,0.5561154583025805,0.5752106803012902,0.4027503305779218,Synthwave #2 in Gm.mapped,Zilo,3,2,1,Completely Wrong
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.3465737504975053,0.8211536753753085,0.8684926208939218,0.714790378847106,0.2513123449750174,Teen Pop #4 in Bb.mapped,Zilo,5,4,3,Very cool untill the last few bars where he goes bananas 
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.4865850784441257,0.3782180190628785,0.0656359928728105,0.403617725292666,,Alternative Hip Hop #2 in G#m.mapped,Zilo,1,1,1,No MUSIC
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.4446199544038713,0.7771952451489045,0.7688262701874734,0.3332512522952204,,Synthwave #6 in A.mapped,Zilo,3,3,2,Awful
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3190465970592914,0.82046112916353,0.8710248541749054,0.6511370513029981,0.0,Teen Pop #4 in Bb.mapped,Zilo,5,5,5,Very Good
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.384022611953482,0.3482395735158905,0.0750281449358107,0.2348731315443056,0.0,Synthwave #2 in Gm.mapped,Zilo,5,3,3,BLOCKS OF SYNTHS PLAYING THE ROOT NOTES
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3370362642267344,0.6386026290223398,0.9336315741668096,0.3342367528656166,0.0,Synthwave #3 in Bb.mapped,Zilo,5,5,5,VERY GOOD AND TRADIOTIONAL
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3161622081322585,0.753404656814661,0.5791093291622696,0.2713792527908978,0.0,Synthwave #4 in Bb.mapped,Zilo,5,4,3,Too boring 
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3389220020213464,0.6429903036533401,0.9370652817094288,0.4906823204637899,0.2034460631932271,Synthwave #5 in Am.mapped,Zilo,5,5,4,Good
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T06.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.6,0.4999823306595435,0.5470231295385558,0.0404935630983314,0.1852802543352357,,Alternative Hip Hop #2 in G#m.mapped,Zilo,2,1,1,Not Music
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T06.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.6,0.3941540992871926,0.6829944309792766,0.691804577565303,0.3205330945797113,0.0,Synthwave #4 in Bb.mapped,Zilo,5,5,5,Very Cool
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T06.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.6,0.351042714803455,0.5919470958607385,0.9010318903463304,0.3860153348897239,0.184430359948607,Synthwave #5 in Am.mapped,Zilo,4,4,3,Not good enough
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T06.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.6,0.3364796110142543,0.8877234587549365,0.9451532962016638,0.6862973906225692,0.2021130208636109,Teen Pop #4 in Bb.mapped,Zilo,5,4,4,Good
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T06.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.6,0.3892200343424821,0.8164466541326543,0.8030508922972588,0.653048874783661,,Synthwave #6 in A.mapped,Zilo,4,3,2,Awful
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T06.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.6,0.3890801745146108,0.6657185936989943,0.3658457810356712,0.3113941194290334,0.3041037593337558,Synthwave #2 in Gm.mapped,Zilo,4,5,4,Good
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T06.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.6,0.3561059764633392,0.63549752863996,0.8896494128484287,0.391876494796909,0.2578895126540039,Synthwave #3 in Bb.mapped,Zilo,4,4,3,Not accurate musically and not interesting
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.4033841596837736,0.6675805765219034,0.3029489531492655,0.5435777158081186,0.0,Synthwave #4 in Bb.mapped,Zilo,3,5,2,Boring and have couple of crucial mistakes
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.3542687183104009,0.8391876560424512,0.8437789866658947,0.8441172126687186,0.098058067569092,Teen Pop #4 in Bb.mapped,Zilo,5,4,4,Good
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.3477845695283906,0.4131209109735214,0.080760513762459,0.4038357259060621,,Alternative Hip Hop #2 in G#m.mapped,Zilo,1,1,1,Not Music
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.3989927237380488,0.5291942481441507,0.2756053298256955,0.3806852854442135,0.0,Synthwave #2 in Gm.mapped,Zilo,5,4,3,Boring 
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.3129430673997427,0.5172911246774548,0.8951149132058944,0.3536410997134964,0.4915911661539477,Synthwave #5 in Am.mapped,Zilo,5,4,4,Good
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.3485782943157058,0.6417207800697993,0.931251928592646,0.2462997985851317,0.0,Synthwave #3 in Bb.mapped,Zilo,5,5,4,Very good Kind or repetitve 
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.4301896814127415,0.7668335099680459,0.743589205678324,0.3899364371524949,,Synthwave #6 in A.mapped,Zilo,3,2,2,"repetitive 8 noes, no style, no musical purpose !"
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.3318940975924493,0.6440686973073168,0.9372847360881512,0.3448409436956196,0.1285279921383142,Synthwave #3 in Bb.mapped,Zilo,5,5,4,Dosen't sound interestung enough musically
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.393670209427238,0.6585881954897113,0.6270209166840659,0.4321850819593229,0.0,Synthwave #4 in Bb.mapped,Zilo,5,5,5,Perfect !
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.4498486545520442,0.7550035881883992,0.6909046195175649,0.6297602503960988,,Synthwave #6 in A.mapped,Zilo,3,2,1,The worst we received so far !
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.3596312094987087,0.5387498957043894,0.8789752076990163,0.3643972207492219,0.1569343436759696,Synthwave #5 in Am.mapped,Zilo,5,4,2,Really Not impressive arrangement !
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.3159990933980503,0.8306299232038025,0.8246490133398631,0.8182336652294268,0.1522773975253762,Teen Pop #4 in Bb.mapped,Zilo,5,5,4,Very Good
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.4801335302253358,0.3090127900294601,0.043568914736462,0.2588368126212423,,Alternative Hip Hop #2 in G#m.mapped,Zilo,2,1,1,nope
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.3932775120331535,0.5747479303448045,0.3852240479966702,0.3440877075755767,0.1394387540455468,Synthwave #2 in Gm.mapped,Zilo,5,5,5,Perfect !
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.9,0.4240488561352763,0.929004286736959,0.9700502196818738,0.6498187772341676,0.4380628612255623,Teen Pop #4 in Bb.mapped,Zilo,3,3,2,VERY FLAT
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.9,0.3894406370905018,0.6203870916810642,0.8995909300554598,0.8199225445030172,0.4970535983885191,Synthwave #3 in Bb.mapped,Zilo,4,5,3,So Creative and musical but plays too many mistakes !
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.9,0.4006369084183874,0.6112552676229068,0.5751695549195357,0.6153376052465153,0.1737488971052279,Synthwave #2 in Gm.mapped,Zilo,4,5,3,VERY CREATIVE BUT MAKES TOO MANY MISTAKES
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums,0.9,0.3933452117245904,0.6579779490320873,0.6938101632719835,0.781483717707503,,Synthwave #4 in Bb.mapped,Zilo,5,5,4,Tempo errors 
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.9,0.4063930864413547,0.8060615731192462,0.8691177689599011,0.7477336277936992,,Synthwave #6 in A.mapped,Zilo,4,4,2,Too many mistakes !
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.9,0.3824813958842076,0.5732049643136445,0.9057787831653156,0.6035051924175168,0.2598596385368366,Synthwave #5 in Am.mapped,Zilo,3,5,2,Too many mistakes !
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.9,0.4709493724289502,0.6057855735372055,0.0238019711128865,0.5072383130938536,0.0,Alternative Hip Hop #2 in G#m.mapped,Zilo,2,5,1,VERY FLAT
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.1,0.3444665742429926,0.6461818693965188,0.899602795404677,0.8259662113867476,0.0,Synthwave #3 in Bb.mapped,Zilo,5,5,5,Amazing ! one of the best outputs so far 
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.1,0.4317124976103885,0.5990396122560915,0.0166647443282202,0.48272441737951,,Alternative Hip Hop #2 in G#m.mapped,Zilo,4,5,4,Not musical at all and very boring !
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums,0.1,0.3998257193266928,0.7554187462755594,0.4599952790069507,0.3220920916570624,,Synthwave #4 in Bb.mapped,Zilo,5,5,5,Good But Boring
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.1,0.3890738689469778,0.8954442480001772,0.9741426704606098,0.650929274336155,0.4123930494211612,Teen Pop #4 in Bb.mapped,Zilo,5,5,5,Beautiful !
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.1,0.3962250106843825,0.7724261910674086,0.8548294352382271,0.6863741372146622,,Synthwave #6 in A.mapped,Zilo,5,5,3,Too basic
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.1,0.3910715334913367,0.558508046658543,0.5214363949996241,0.6057226263129687,0.41522630811417,Synthwave #2 in Gm.mapped,Zilo,5,5,5,Good But Boring
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T01.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.1,0.3473412397525761,0.5626450084469162,0.9108992021293842,0.6569340567994807,0.5930672165988065,Synthwave #5 in Am.mapped,Zilo,5,5,3,Too basic
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.6,0.369545959087096,0.5699082448344193,0.8973438730643315,0.6719381625317307,0.4397994971335427,Synthwave #5 in Am.mapped,Zilo,5,5,5,Perfect !
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.6,0.3790918583052259,0.6082916560262169,0.8797009645596826,0.8251488789531289,0.0834057656228298,Synthwave #3 in Bb.mapped,Zilo,5,5,5,Too Good !!
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.6,0.4652675310100012,0.5885950895790616,0.0146283340684764,0.4822607306208071,,Alternative Hip Hop #2 in G#m.mapped,Zilo,5,5,4,Almost perfect !
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.6,0.3886597854838738,0.552556883476507,0.614169626412659,0.6023293344682212,0.1586103171436289,Synthwave #2 in Gm.mapped,Zilo,5,5,5,Great !
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.6,0.4146354752165599,0.7493470553668727,0.8479141180062427,0.7222148222524303,,Synthwave #6 in A.mapped,Zilo,5,5,3,Too many tension notes !
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.6,0.3977818296703657,0.9202348472852488,0.9794529045353586,0.6505908655405579,0.4065624678853674,Teen Pop #4 in Bb.mapped,Zilo,5,5,5,Perfect !
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.D_T06.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums,0.6,0.3869102614425553,0.672724786883895,0.7103505199232549,0.749017133508535,,Synthwave #4 in Bb.mapped,Zilo,5,5,5,Perfect !
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.25,0.3790353225054468,0.6445443581616356,0.8833290491203201,0.8256399441730639,0.0,Synthwave #3 in Bb.mapped,Zilo,5,5,5,Amazing
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.25,0.3851901361323281,0.5676719252636717,0.9065911570687478,0.5869018941675881,0.5930672165988065,Synthwave #5 in Am.mapped,Zilo,5,5,4,Good
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums,0.25,0.3966739021531966,0.7647931746508677,0.6815804590577456,0.8802582181502489,,Synthwave #4 in Bb.mapped,Zilo,5,5,5,Amazing
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.25,0.4215900002086084,0.5988045433444029,0.0171770959697794,0.4877363201183804,,Alternative Hip Hop #2 in G#m.mapped,Zilo,4,5,4,Too Boring but good
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.25,0.3959878782679737,0.7504971999839065,0.8501237578020485,0.6828121466325187,,Synthwave #6 in A.mapped,Zilo,5,4,2,Boring as hell 
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.25,0.3907174084177674,0.5548762393391445,0.5278702410973825,0.6055253225206616,0.41522630811417,Synthwave #2 in Gm.mapped,Zilo,5,4,4,Good
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T025.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.25,0.4093657210349918,0.9116530352899828,0.9760163603434524,0.650929274336155,0.411868042143477,Teen Pop #4 in Bb.mapped,Zilo,4,5,4,Good
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.4,0.376207309056461,0.6349581373325712,0.8598484116272167,0.8249369696020464,0.0408930410054765,Synthwave #3 in Bb.mapped,Zilo,5,5,5,VERY GOOD
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums,0.4,0.3741644233306139,0.5653418220392582,0.907993048647336,0.5939661075600619,0.5930672165988065,Synthwave #5 in Am.mapped,Zilo,5,3,1,Sounds awful
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.4,0.3894057452124488,0.5626699174567602,0.5836622779046345,0.6077898640875581,0.3794004646718856,Synthwave #2 in Gm.mapped,Zilo,5,5,5,VERY GOOD
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.4,0.4070008549261449,0.8925400394389803,0.9692901285252716,0.6505908655405579,0.4285495643554835,Teen Pop #4 in Bb.mapped,Zilo,5,4,2,jUST DOEN'T FIT BUT THIS MUSIC SOMETIMES TWO SONGS ARE JUST O RIGHT FOR EACHOTHER
Zilo.Verse-Synthwave #6 in A.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums,0.4,0.3952095191257162,0.7873241655773593,0.8501237578020485,0.6828121466325187,,Synthwave #6 in A.mapped,Zilo,5,2,1,Sounds awful
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.D_T04.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums,0.4,0.4415995091005878,0.5926653761624523,0.0159509067152642,0.4841303071529703,,Alternative Hip Hop #2 in G#m.mapped,Zilo,5,4,4,"ONE WRONG NOTE ON ONE CHORDS, EXTREMELY RARE !"
